date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-14,01:43:22,3,23.66,99.18,82.09,0.08,48.25,29.9,74,55,55,21,18.1,1.8,27,79.5275
2025-07-14,03:39:51,4,25.82,109.05,81.57,0.07,47.72,29.9,74,76,76,36,15.4,2.7,27,71.93333333333334
2025-07-14,04:40:12,4,26.9,113.66,81,0.06,47.23,30.9,70,74,74,34,16.1,2.7,28,59.95666666666667
2025-07-14,05:23:59,4,26.9,113.66,81,0.06,47.23,30.9,70,68,68,30,17.3,3.3,29,56.2
2025-07-14,06:30:31,4,28.73,120.81,79.66,0.06,46.01,32.9,58,64,64,27,17.1,3.6,29,45.075
2025-07-14,07:22:41,4,28.86,120.7,79.88,0.05,45.65,32.9,62,80,80,38,15.6,4.6,29.5,36.84
2025-07-14,08:28:19,4,29.46,122.92,79.35,0.05,44.85,34.9,55,98,98,51,15.7,5.3,29.5,39.583333333333336
2025-07-14,09:26:11,4,29.64,124.02,79,0.04,44.21,34.9,55,85,85,42,16.3,5.5,29.5,47.03
2025-07-14,10:21:01,4,29.49,124.3,78.94,0.05,43.76,33.9,59,77,77,35,16.3,5.7,29.5,45.379999999999995
2025-07-14,11:16:46,4,28.81,122.92,78.37,0.05,43.36,33.9,59,106,106,53,15.6,7.2,29.5,47.894999999999996
2025-07-14,12:40:00,4,26.77,117.24,77.62,0.07,43.12,32.9,62,106,106,53,16.6,8,31,51.76333333333333
2025-07-14,13:34:55,4,25.76,114.21,77.36,0.08,42.98,30.9,70,108,108,54,17.9,7.4,30,58.00333333333333
2025-07-14,14:19:44,4,25.06,113.55,74.56,0.09,40.66,30.9,70,116,116,56,18.6,6.5,29,69.475
2025-07-14,15:20:54,4,24.37,112.65,74,0.1,40.49,30.9,70,152,152,70,16.2,6.3,28,75.77
2025-07-14,16:24:56,4,23.96,112.36,74.23,0.1,40.71,30.9,70,138,138,68,15.1,5.9,28,75.4
2025-07-14,17:18:16,4,23.79,112.09,74.78,0.09,41.08,29.9,74,87,87,50,17,5.1,28,79.68
2025-07-14,18:29:13,4,23.92,112.1,75.17,0.09,41.25,29.9,70,93,93,50,17.5,4.5,26,79.76666666666667
2025-07-14,19:14:53,4,24.36,110.53,75.36,0.1,41.14,29.9,70,111,111,57,15.5,5.2,27,79.775
2025-07-14,20:21:16,4,24.54,109.78,75.76,0.1,41.15,29.9,70,113,113,60,15.9,2.8,27,79.775
2025-07-14,21:18:35,4,24.88,109.92,76.54,0.1,41.45,29.9,70,71,71,36,16.6,2.1,27.5,79.775
2025-07-14,22:18:40,4,25.16,108.58,77.92,0.1,42.22,29.9,70,76,76,36,17.2,1.7,27,79.495
2025-07-14,23:18:37,4,25.49,107.5,79.18,0.1,42.81,29.9,74,85,85,41,17.1,1.8,27,79.475
