date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-06-30,01:41:02,3,18.47,52.6,76.55,0.1,57.12,29.9,79,85,85,19,7.2,13.2,27.275,91.72500000000001
2025-06-30,03:23:38,3,18.59,56.44,75.75,0.09,55.61,29.9,79,107,107,32,8.3,13.4,28.03333333333333,86.43333333333334
2025-06-30,04:32:05,3,17.92,63.74,72.9,0.08,49.75,30.9,70,154,154,41,8.7,14.3,28.766666666666666,82.93333333333334
2025-06-30,05:20:32,3,17.92,63.74,72.9,0.08,49.75,32.9,62,165,165,58,8.2,14.2,29,81.75
2025-06-30,06:29:06,3,17.87,68.95,71.52,0.08,46.5,32.9,62,96,96,52,1.9,4.5,28,60.52
2025-06-30,07:20:01,3,18.05,71.91,70.43,0.07,44,33.9,55,87,87,46,2,5.2,29,58.325
2025-06-30,08:26:04,3,18.39,74.34,70.1,0.06,42.57,33.9,55,89,89,47,1.8,5.9,30,71.4
2025-06-30,09:21:50,3,18.66,77.16,70.29,0.06,42.02,33.9,52,87,87,45,1.8,5.9,29,73.695
2025-06-30,10:20:26,3,18.58,78.39,70.78,0.06,41.95,33.9,55,109,109,56,1.9,6.1,28,64.27
2025-06-30,11:15:59,3,18.19,76.86,70.83,0.06,41.7,32.9,58,106,106,56,1.8,5.8,30,55.58
2025-06-30,12:37:59,3,17.83,71.88,70.83,0.07,41.32,31.9,62,73,73,37,1.8,5.7,28,74.27
2025-06-30,13:31:59,4,21.89,100.08,71.05,0.1,41.14,31.9,62,71,71,34,1.8,5.7,28,69.76
2025-06-30,14:18:30,4,21.89,100.08,71.05,0.1,41.14,30.9,70,87,87,44,1.8,5.2,28,62.864999999999995
2025-06-30,15:20:42,3,21.55,98.82,71.54,0.1,41.44,29.9,74,80,80,39,1.9,5,28,65.82499999999999
2025-06-30,16:23:28,4,21.74,101.92,70.94,0.11,40.76,29.9,74,56,56,22,1.9,5.6,27,71.38499999999999
2025-06-30,17:16:01,4,22.08,106.02,70.24,0.11,39.85,29.9,74,63,63,27,1.7,4.9,27,74.59
2025-06-30,18:26:35,4,22.35,109.12,69.71,0.11,39.14,29.9,79,46,46,16,1.8,4.9,26,79.38
2025-06-30,19:14:04,4,22.24,109.39,69.19,0.12,38.77,29.9,74,53,53,19,1.8,4.5,26,79.55
