date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-03,01:27:21,3,18.18,69.86,72.81,0.09,42.89,28.9,79,63,63,27,1.8,3.5,25,79.6
2025-07-03,03:18:39,3,17.23,64.76,74.21,0.1,44.32,29.9,74,59,59,25,1.8,2.7,25.5,79.455
2025-07-03,04:30:39,3,16.9,66.08,74.54,0.09,44.65,29.9,79,64,64,30,1.9,2.3,27,79.19
2025-07-03,05:21:52,3,16.9,66.08,74.54,0.09,44.65,30.9,70,55,55,24,1.8,3,28,78.93
2025-07-03,06:28:21,3,17.15,69.13,74.18,0.08,44.15,30.9,66,64,64,29,1.7,3.4,27,65.4
2025-07-03,07:18:21,3,17.59,73.13,73.64,0.08,43.41,32.9,58,64,64,30,1.8,4.5,27,52.185
2025-07-03,08:24:55,3,18.16,77.78,72.81,0.08,42.6,33.9,52,76,76,39,1.8,5,30,53.57333333333333
2025-07-03,09:20:18,3,18.75,82.08,71.83,0.08,41.8,32.9,58,94,94,52,1.7,3.6,28.5,58.815
