date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-12,01:40:17,3,16.57,66.49,76.13,0.09,43.88,29.9,74,57,57,22,22.8,2.8,26,79.46
2025-07-12,03:24:27,3,17.08,68.18,75.71,0.09,43.16,30.9,66,84,84,40,21.5,2.6,27,73.955
2025-07-12,04:30:01,3,17.71,69.66,74.71,0.07,41.86,31.9,62,82,82,39,23.1,3.1,27,58.18
2025-07-12,05:18:47,3,17.71,69.66,74.71,0.07,41.86,32.9,55,73,73,34,21.1,3.8,27,44.125
2025-07-12,06:26:24,3,17.69,68.6,74.68,0.06,41.54,33.9,49,100,100,52,18.8,4.4,28,43.72
2025-07-12,07:17:40,3,17.38,67.05,74.74,0.05,41.31,33.9,52,107,107,54,19.2,5.5,28.5,43.665
2025-07-12,08:22:27,3,17.08,66.58,74.77,0.05,40.86,33.9,52,94,94,48,16.2,5.9,30,37.175
2025-07-12,09:18:24,3,17.02,67.75,74.57,0.04,40.06,34.9,49,94,94,48,15.8,6,30.5,39.54
2025-07-12,10:18:22,3,17.24,70.61,74.28,0.04,39.14,33.9,52,112,112,56,14.3,5.4,29,39.385000000000005
2025-07-12,11:15:36,3,17.47,73.72,73.92,0.05,38.32,33.9,49,116,116,57,14.7,7.1,29,48.32
2025-07-12,12:35:14,3,17.43,76.44,73.91,0.06,38.1,33.9,52,88,88,44,16.2,6.8,32,47.673333333333325
2025-07-12,13:27:26,3,16.33,67.05,74.17,0.07,38.87,31.9,55,90,90,45,15.3,6.8,30,56.24
2025-07-12,14:16:28,3,15.6,63.7,74.84,0.08,39.53,31.9,58,94,94,47,12.6,6.9,29,60.59
2025-07-12,15:18:22,3,14.9,60.51,75.62,0.08,40.39,30.9,66,74,74,33,16.1,6.8,29,67.50999999999999
2025-07-12,16:21:18,3,14.2,57.21,76.72,0.08,41.54,29.9,70,66,66,29,18,7.2,28,79.4
2025-07-12,17:15:22,3,13.72,54.87,77.77,0.07,42.5,29.9,70,65,65,28,18,7.5,28,79.41
2025-07-12,18:24:44,3,13.69,54.56,78.33,0.07,42.91,29.9,70,66,66,29,17.2,6.6,28,79.375
2025-07-12,19:14:08,3,13.99,55.69,78.54,0.07,42.81,29.9,70,79,79,37,15.5,8.5,28,78.13
2025-07-12,20:19:17,3,14.45,57.67,78.83,0.07,42.75,29.9,74,85,85,41,17,8.2,28,79.405
