date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-10,01:38:02,4,29.01,129.56,76.15,0.11,48.21,28.51,82,124,124,59,21.8,2.9,26,79.41
2025-07-10,03:20:43,4,27.85,123.78,75.77,0.1,48,29.26,78,109,109,54,25.8,1.9,27,76.55000000000001
2025-07-10,04:31:03,4,25.96,116.96,74.61,0.08,47,29.9,79,110,110,54,24.7,2.5,27,65.5
2025-07-10,05:21:36,4,25.96,116.96,74.61,0.08,47,30.9,74,144,144,65,22,3.5,28,53.7
2025-07-10,06:29:03,4,25.64,118.2,74.25,0.08,46.63,31.9,70,140,140,64,23.2,4.2,29,43.335
2025-07-10,07:19:19,4,25.58,121.56,74.19,0.07,46.42,32.9,62,126,126,59,23.1,5.5,29,36.34
2025-07-10,08:25:59,4,25.67,125.54,74.26,0.06,46.4,32.9,58,111,111,55,22.8,5.3,31,37.989999999999995
2025-07-10,09:21:55,4,25.82,128.88,74.51,0.06,46.44,32.9,58,120,120,57,20.2,6.5,31,36.26
2025-07-10,10:20:27,4,26.08,131.82,75.08,0.05,46.42,31.9,62,145,145,65,21.4,7.1,30,44.84
2025-07-10,11:16:49,4,26.78,135.58,75.55,0.06,46.32,31.9,62,141,141,64,23.8,6.4,30,49.78
2025-07-10,12:39:15,4,25.85,128.54,75.37,0.08,45.52,31.9,62,126,126,60,22.9,6.3,29,71.28000000000002
2025-07-10,13:33:47,4,25.46,127.28,74.99,0.08,43.93,31.9,62,151,151,69,21.5,5.7,29,63.04333333333333
2025-07-10,14:19:13,4,25.31,125.73,75.13,0.09,43.77,31.9,62,106,106,53,22.6,4.9,28.5,72.69999999999999
