date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-02,01:27:25,3,17.64,71.51,72.43,0.09,45.35,29.9,74,73,73,35,1.7,2.5,26,79.48333333333333
2025-07-02,03:17:26,3,16.21,64.79,73.05,0.09,46.66,29.9,74,68,68,32,1.8,2.4,26,79.4
2025-07-02,04:28:29,3,16.18,66.43,73.26,0.08,47.14,31.9,62,67,67,31,1.8,2.9,27,75.885
2025-07-02,05:21:29,3,16.16,69.43,73.36,0.07,47.38,31.9,58,60,60,25,1.8,3.4,28,71.505
2025-07-02,06:28:06,3,16.12,71.5,73.44,0.05,47.08,31.9,62,69,69,35,1.8,3.8,27,71.83500000000001
2025-07-02,07:18:33,3,16.14,72.92,73.23,0.05,46.22,32.9,58,97,97,54,1.8,3.6,27,79.41499999999999
2025-07-02,08:25:39,3,16.43,75.4,72.71,0.05,44.92,33.9,52,91,91,49,1.8,3.7,28,71.42
2025-07-02,09:21:28,3,16.87,77.93,72.22,0.05,43.43,33.9,55,90,90,48,1.9,3.7,28,62.305
2025-07-02,10:20:16,3,17.45,80.67,71.96,0.05,42.18,33.9,49,71,71,33,2,4,29,62.040000000000006
2025-07-02,11:16:24,3,18.04,83.11,71.39,0.05,41.14,32.9,52,73,73,35,1.9,5.5,29,62.41
2025-07-02,12:38:05,3,19.25,87.5,71.18,0.07,40.61,31.9,58,73,73,35,1.9,5.5,29,62.41
