date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-15,01:43:45,4,26.2,111.37,79.41,0.11,42.27,29.9,70,77,77,36,17.4,1.7,27,79.43
2025-07-15,03:37:06,4,25.97,111.68,79.19,0.1,42.63,29.51,72,93,93,46,16.1,2.3,28,58.18
2025-07-15,04:37:44,4,25.85,111.88,78.91,0.09,42.91,30.06,70,111,111,56,15.3,3,28,51.48
2025-07-15,05:23:29,4,25.85,111.88,78.91,0.09,42.91,30.06,70,112,112,58,16.3,3.6,28,46.465
