date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-06,01:43:01,5,42.8,211.71,73.67,0.12,55.95,29.9,79,81,81,42,1.8,2.5,25,79.75666666666667
2025-07-06,03:25:34,5,41.59,214.03,73.07,0.11,56.02,29.9,74,87,87,46,1.9,2.8,26,79.775
2025-07-06,04:31:40,5,38.78,200.38,72.01,0.1,54.76,30.9,70,95,95,51,1.8,3.1,27,61.15
2025-07-06,05:18:04,4,36.01,183.45,70.9,0.1,53.24,30.9,70,117,117,59,2,3.9,28,50.125
2025-07-06,06:26:19,4,33.78,169.64,70.2,0.09,52.04,31.9,62,117,117,59,1.9,5.1,29,46.04333333333333
2025-07-06,07:16:31,4,32.27,160.92,70,0.08,51.21,31.9,62,99,99,53,1.8,5.8,29,45.595
2025-07-06,08:22:04,4,31.57,157.41,69.92,0.07,50.46,31.9,62,97,97,52,1.8,6.8,30,48.695
2025-07-06,09:17:30,4,30.77,152.71,70.13,0.07,49.63,31.9,58,127,127,63,1.7,7.5,29.5,79.15
2025-07-06,10:18:47,4,29.99,147.52,70.81,0.07,49.08,31.9,58,120,120,60,1.9,7.1,25,79.77
2025-07-06,11:15:24,4,29.44,143.39,71.47,0.07,48.72,31.9,58,86,86,44,1.7,7.7,24,79.76
2025-07-06,12:34:50,4,29.13,139.42,72.1,0.09,47.75,31.9,62,75,75,36,1.7,7.9,25,79.74666666666667
2025-07-06,13:26:57,4,30.36,149.19,72.91,0.09,49.28,31.9,62,72,72,35,1.6,8.2,25,79.74
2025-07-06,14:15:44,4,30.95,149.95,73.37,0.1,49.12,30.9,70,55,55,23,1.7,6.6,25,79.74
2025-07-06,15:17:13,4,31.29,149.01,73.26,0.11,48.38,29.9,74,47,47,18,1.8,5.4,25,79.74
2025-07-06,16:20:49,4,31.53,144.66,72.59,0.11,47.63,29.9,74,45,45,16,1.8,4.2,25,79.74
2025-07-06,17:15:39,4,32.68,148.81,72.27,0.11,47.65,29.9,74,56,56,23,1.9,3.9,25,79.74
2025-07-06,18:24:01,4,35.17,165.65,72.58,0.12,48.74,29.9,74,61,61,27,1.8,2.8,25,79.75
