date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-20,01:48:51,3,15.91,67.49,82.51,0.11,39.81,27.9,83,77,77,43,52.5,4.7,26.016666666666666,99.30666666666667
2025-07-20,03:44:53,3,15.72,62.59,81.64,0.11,40.39,28.9,79,91,91,52,52.5,4.2,28.512500000000003,87.2825
2025-07-20,04:40:48,3,16.29,64.39,81.2,0.09,40.88,30.9,70,97,97,54,51.8,4.9,28.680000000000003,85.59666666666665
2025-07-20,05:23:45,3,16.29,64.39,81.2,0.09,40.88,31.9,62,84,84,47,52.8,5.4,30.155,74.02000000000001
2025-07-20,06:27:05,3,17.59,71.05,80.27,0.08,41.11,31.9,62,65,65,32,51.4,5.9,32.19,66.105
2025-07-20,07:17:19,3,19.44,81.55,78.78,0.07,41.1,32.9,55,43,43,18,52.1,7.8,34.635000000000005,56.745000000000005
2025-07-20,08:23:22,3,21.2,92.05,77.15,0.06,40.88,32.9,58,65,65,33,52.7,9.5,36.53,50.905
2025-07-20,09:18:39,3,22.38,98.34,76.25,0.06,40.86,32.9,55,73,73,38,51.9,8.1,33.575,60.870000000000005
2025-07-20,10:19:32,4,23.17,102.29,76.28,0.05,41.39,33.9,52,65,65,32,50.7,10.8,34.754999999999995,54.775
2025-07-20,11:15:31,4,23.45,102.91,76.77,0.05,42.46,33.9,52,52,52,23,51.2,11.8,30.615000000000002,73.88
2025-07-20,12:36:41,3,22.58,96.59,77.66,0.07,44.93,31.9,62,95,95,54,52.1,10.4,31.426666666666666,68.73333333333333
2025-07-20,13:29:23,4,23.35,102.62,76.52,0.08,44.73,31.9,62,86,86,49,53.3,9.1,30.585,74.14
2025-07-20,14:16:41,4,22.81,101.79,75.49,0.09,45.21,30.9,66,72,72,39,51.9,9.1,28.9,77.32
2025-07-20,15:18:23,3,22.34,99.89,74.75,0.1,45.66,30.9,66,72,72,39,52.3,7.2,27.96,90.12
2025-07-20,16:21:59,3,22.01,98.01,74.78,0.1,46.2,29.9,74,65,65,33,53.7,6.1,27.905,94.995
2025-07-20,17:16:08,3,22.04,97.69,75.43,0.1,46.94,29.9,74,63,63,31,53.7,6.5,27.75,91.2
2025-07-20,18:25:52,3,22.51,99.96,76.28,0.09,47.73,29.9,74,81,81,45,51.2,6.9,27.57,99.23
2025-07-20,19:14:13,4,23.21,104.2,76.74,0.09,48.2,29.9,74,81,81,45,51.2,6.9,27.57,99.23
2025-07-20,20:20:35,4,24.14,110.2,77.21,0.09,48.44,29.9,74,81,81,45,51.2,6.9,27.57,99.23
2025-07-20,21:17:34,4,25.55,118.84,77.05,0.09,48.24,29.9,74,85,85,52,53.2,6.1,25.94,99.66
2025-07-20,22:17:52,4,27.11,126.81,76.55,0.09,47.87,29.9,74,55,55,26,51.4,5.9,25.95,99.67
