date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-09,01:37:44,5,35.36,205.39,73.68,0.12,49.31,29.9,74,77,77,37,2.4,2.1,26,79.44999999999999
2025-07-09,03:21:03,5,35.38,205.54,73.78,0.11,49.17,29.9,74,159,159,80,2.6,1.7,27,55.53
2025-07-09,04:32:56,4,34.71,199.79,73.83,0.08,48.33,29.9,74,135,135,62,2.6,3.2,28,46.166666666666664
2025-07-09,05:23:00,4,34.71,199.79,73.83,0.08,48.33,30.9,70,109,109,54,2.6,4.5,29,41.42
2025-07-09,06:28:31,4,34.29,196.56,73.95,0.07,47.69,31.9,66,148,148,66,2.5,5.2,30,36.78666666666666
2025-07-09,07:19:15,4,33.87,193.33,74.13,0.06,46.83,31.9,66,158,158,78,1.3,5.4,31,38.775
2025-07-09,08:25:57,4,33.26,189.27,74,0.06,45.57,32.9,58,437,391,437,1.3,6,31,49.855000000000004
2025-07-09,09:21:24,4,32.52,184.89,73.82,0.05,44.29,32.9,58,119,119,58,13.1,5.6,30,35.92
2025-07-09,10:20:41,4,31.88,180.79,73.9,0.06,43.42,32.9,55,100,100,52,21,7.1,30,36.415
2025-07-09,11:16:42,4,31.23,176.27,73.89,0.06,42.88,32.9,55,86,86,43,21.7,7.5,31,42.8
2025-07-09,12:38:44,4,30.18,165.38,74.33,0.08,42.91,32.9,55,129,129,61,21.9,6.5,29,52.053333333333335
2025-07-09,13:32:27,4,30.18,165.38,74.33,0.08,42.91,32.9,55,157,157,78,22.3,6.5,29,62.81999999999999
2025-07-09,14:18:19,4,31.69,170.26,76.07,0.08,45.03,31.9,62,155,155,75,23.2,5.8,29,71.15
2025-07-09,15:20:25,4,31.18,161.79,76.51,0.1,45.94,30.9,70,137,137,63,24.2,4.4,28,73.07
2025-07-09,16:22:20,4,30.92,154.36,76.7,0.1,46.83,30.9,70,125,125,59,23.4,5.4,27,74.815
2025-07-09,17:18:13,4,31,148.1,77.05,0.1,47.6,30.9,74,154,154,73,17,4.7,27,79.1
2025-07-09,18:27:20,4,31.31,143.15,77.31,0.1,48.08,29.9,79,159,159,80,21.1,4.1,27,78.6
2025-07-09,19:15:34,4,31.65,139.59,77.21,0.11,48.11,29.9,79,121,121,58,24.4,3.4,27,71.885
