date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-04,01:27:03,3,23.86,91.62,72.43,0.1,43.68,28.9,84,21,21,8,2.1,2.2,25,79.5
2025-07-04,03:16:58,3,24.77,99.38,73.04,0.1,44.01,29.9,74,62,62,28,1.8,2.6,25.5,79.38
2025-07-04,04:28:24,4,24.79,101.4,73.63,0.09,44.22,30.9,70,64,64,28,1.9,3.3,26,77.64333333333333
2025-07-04,05:20:58,4,25.06,104.53,73.79,0.08,44.06,31.9,70,73,73,34,1.9,3.9,27,60.455
2025-07-04,06:28:23,4,25.42,108.07,73.83,0.06,43.53,31.9,66,82,82,41,1.8,4.6,28,61.245000000000005
2025-07-04,07:18:41,4,25.89,112.06,73.69,0.05,42.54,32.9,62,85,85,43,1.9,5.5,28,58.33
2025-07-04,08:25:02,4,26.51,116.83,73.43,0.05,41.28,32.9,62,76,76,38,1.9,7,28,48.67
2025-07-04,09:19:57,4,27.27,121.89,72.88,0.04,40.06,33.9,59,94,94,51,1.8,7.5,29,49.69
2025-07-04,10:19:54,4,28.32,127.21,72.43,0.04,39.44,33.9,59,94,94,52,1.8,6,30,63.19
2025-07-04,11:16:35,4,29.51,130.64,72.3,0.05,39.72,33.9,59,74,74,35,1.7,6.1,29,79.405
2025-07-04,12:37:31,4,31.66,125.61,73.57,0.07,43.42,31.9,66,74,74,36,1.8,5.9,28,66.08666666666667
2025-07-04,13:30:09,4,31.66,125.61,73.57,0.07,43.42,31.9,66,67,67,32,1.8,5.8,27,69.98333333333333
2025-07-04,14:17:47,3,27.59,80.43,77.34,0.09,47.23,30.9,70,55,55,23,1.8,5,27,74.885
2025-07-04,15:18:25,3,29.1,88.77,78.53,0.09,48.99,30.9,70,53,53,21,1.6,4.9,27,79.36
2025-07-04,16:22:25,3,30.62,98.46,79.52,0.09,50.69,30.9,70,53,53,21,1.6,4.9,27,79.36
2025-07-04,17:15:42,4,31.93,108.42,80.31,0.09,52.08,29.9,79,53,53,21,1.6,4.9,27,79.36
2025-07-04,18:24:51,4,32.88,118.02,80.8,0.09,53.08,29.9,79,53,53,21,1.6,4.9,27,79.36
2025-07-04,19:15:02,4,33.33,126.41,80.8,0.09,53.62,29.9,79,53,53,21,1.6,4.9,27,79.36
2025-07-04,20:19:28,4,32.94,130.33,80.46,0.09,53.85,29.9,79,53,53,21,1.6,4.9,27,79.36
2025-07-04,21:17:26,4,32.61,132.65,79.69,0.1,53.72,29.9,74,53,53,21,1.6,4.9,27,79.36
2025-07-04,22:17:28,4,32.07,132.75,78.86,0.1,53.44,29.9,74,54,54,21,1.8,3.3,26,79.495
2025-07-04,23:17:07,4,30.96,129,78.04,0.1,53.19,28.9,84,61,61,29,1.8,3.1,26,79.49
