date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-05,01:24:13,4,28.87,120.79,76.69,0.09,53.12,28.9,84,57,57,24,1.8,2.7,26,79.51
2025-07-05,03:12:28,4,29.25,126.29,76.62,0.1,54.8,29.9,79,69,69,35,1.8,2.7,27,77.855
2025-07-05,04:23:23,4,30.4,137.08,77.42,0.08,56.35,30.9,70,75,75,47,1.7,2.9,27,70.155
2025-07-05,05:17:51,4,31.84,148.99,78.62,0.07,57.77,31.9,66,82,82,44,1.8,3.8,28,55.5
2025-07-05,06:25:10,4,33.46,159.8,79.96,0.05,58.53,31.9,66,85,85,44,1.8,4.2,29,55.125
2025-07-05,07:16:37,4,35.22,169.43,81.3,0.05,58.52,32.9,62,90,90,51,1.9,4.7,28.5,67.015
2025-07-05,08:22:39,4,40.18,194.5,83.04,0.04,58.18,31.9,66,77,77,41,1.8,4.8,29,60.945
2025-07-05,09:17:54,4,39.18,187.53,83.07,0.04,56.64,31.9,66,90,90,51,1.9,4.6,28,71.72
2025-07-05,10:17:50,4,41.35,196.93,84.14,0.04,55.95,32.9,58,86,86,46,1.7,4.4,27,61.07
2025-07-05,11:14:11,5,43.33,205.19,85.1,0.04,55.79,32.9,62,71,71,36,1.9,4.5,27,64.59
2025-07-05,12:34:14,5,44.03,201.73,85.46,0.06,56.3,30.9,70,57,57,25,1.9,6.4,26,79.44999999999999
2025-07-05,13:26:14,5,45.17,200.79,87.64,0.08,62.02,31.9,66,55,55,22,1.7,5.3,26,79.46333333333332
2025-07-05,14:16:57,4,42.85,182.95,87,0.09,62.89,30.9,70,52,52,20,1.8,4.5,26,79.48
2025-07-05,15:17:08,4,38.63,156.27,84.65,0.1,62.16,30.9,70,39,39,14,1.7,4.4,26,79.66
2025-07-05,16:20:45,4,34.15,129.38,81.17,0.1,59.93,29.9,74,39,39,15,1.7,5.4,26,79.67
2025-07-05,17:15:14,4,30.83,109.87,77.46,0.11,56.61,29.9,79,27,27,10,1.8,3.8,26,79.67
