date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-19,01:37:39,3,19.67,74.69,81.54,0.08,43.62,29.9,70,81,81,47,52.4,2.3,25.39333333333333,99.73
2025-07-19,03:21:33,3,19.43,73.18,81.95,0.09,43.9,29.9,70,74,74,41,56.1,2,27.925,99.245
2025-07-19,04:30:01,3,20.02,76.17,81.11,0.07,43.5,30.9,66,76,76,41,56.5,2.3,30.546666666666663,78.19
2025-07-19,05:20:17,3,20.02,76.17,81.11,0.07,43.5,31.9,62,96,96,54,55,3.7,31.255,71.055
