date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-18,01:42:10,4,23.06,102.41,80.79,0.07,43.33,29.9,70,113,113,63,0.1,4.4,27.05333333333333,94.93666666666667
2025-07-18,03:27:50,4,22.93,100.88,81.15,0.08,43.92,29.9,70,132,132,68,0.1,3.5,27.935000000000002,99.51
2025-07-18,04:37:31,3,22.55,97.75,81.14,0.06,44.12,30.9,66,116,116,63,0.1,3.9,32.87,62.89333333333334
2025-07-18,05:24:36,3,22.55,97.75,81.14,0.06,44.12,32.9,55,111,111,62,0.1,5.7,34.54,55.455
2025-07-18,06:29:09,3,22.5,96.8,80.9,0.05,43.62,33.9,49,96,96,56,0.1,7.5,35.085,52.695
2025-07-18,07:21:36,3,22.43,95.91,80.6,0.05,42.7,33.9,49,87,87,52,0.1,7.5,37.230000000000004,46.394999999999996
2025-07-18,08:26:22,3,22.26,94.67,79.97,0.04,41.58,34.9,46,101,101,58,0.1,7.4,37.23,44.21
2025-07-18,09:23:15,3,22.02,93.4,79.32,0.04,40.56,33.9,49,118,118,65,42.6,8.4,38.349999999999994,40.69
2025-07-18,10:20:56,3,21.81,92.37,78.94,0.05,39.84,33.9,49,128,128,69,42.6,9.5,35.265,46.045
2025-07-18,11:16:37,3,21.55,91.54,78.18,0.05,39.27,33.9,46,99,99,58,101.7,10.4,33.255,54.33
2025-07-18,12:39:38,3,21.39,92.11,76.71,0.07,38.78,32.9,49,88,88,52,45.4,11.5,32.43,57.166666666666664
2025-07-18,13:35:28,3,19.95,81.58,77.16,0.08,39.03,31.9,51,143,143,74,46.6,12,31.206666666666667,60.839999999999996
2025-07-18,14:18:50,3,19.95,81.58,77.16,0.08,39.03,30.9,58,155,155,84,50,11.3,30.104999999999997,64.21000000000001
