date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-07-01,01:45:52,3,17.69,71.85,71.18,0.11,45.49,28.9,79,60,60,24,1.8,1.9,26,79.565
2025-07-01,03:38:20,3,16.79,66.58,71.54,0.09,46.91,29.9,74,66,66,30,1.8,2.5,27,73.67666666666666
2025-07-01,04:36:44,3,16.7,68,71.59,0.08,47.24,31.9,66,73,73,34,1.7,4.1,28,64.54
2025-07-01,05:21:55,3,16.7,68,71.59,0.08,47.24,31.9,62,71,71,32,1.7,4.4,29,59.085
2025-07-01,06:28:30,3,16.7,70.78,71.64,0.06,47.05,32.9,55,70,70,32,1.7,5,29,61.04333333333333
2025-07-01,07:19:42,3,16.61,73.1,71.53,0.06,46.28,32.9,55,87,87,46,1.8,5.3,29,62.535
2025-07-01,08:26:01,3,17.34,79.89,71.21,0.05,44.92,33.9,52,83,83,44,1.8,5.8,28,79.66499999999999
2025-07-01,09:21:39,3,16.87,77.91,70.83,0.05,43.89,33.9,52,65,65,29,1.8,6.2,29,56.545
2025-07-01,10:20:33,3,17.48,81.86,70.85,0.05,42.95,33.9,52,85,85,45,1.7,6.3,30,56.79
2025-07-01,11:16:20,3,18.38,86.71,70.92,0.05,42.36,32.9,55,93,93,50,1.8,7.5,30,58.38
2025-07-01,12:38:29,3,19.73,91.36,71.84,0.07,42.52,30.9,62,86,86,44,1.6,6.8,30,61.69
2025-07-01,13:32:07,3,21.15,97.01,73.18,0.09,43.6,30.9,66,86,86,47,1.7,6,29,72.21666666666665
2025-07-01,14:18:03,3,21.15,97.01,73.18,0.09,43.6,30.9,66,103,103,58,1.8,5.9,28.5,78.97
2025-07-01,15:19:53,3,21.56,97.32,73.7,0.1,44.15,30.9,66,103,103,55,1.8,5.2,28.5,78.22
2025-07-01,16:23:44,3,21.63,96.05,73.92,0.1,44.43,30.9,66,88,88,47,1.8,4.6,28.5,79.38499999999999
2025-07-01,17:16:39,3,21.38,94.09,74.05,0.1,44.59,30.9,70,85,85,47,1.8,3.6,28,79.445
2025-07-01,18:26:01,3,20.98,92.08,73.83,0.1,44.53,29.9,70,85,85,51,1.8,4,26,79.56
2025-07-01,19:14:25,3,20.42,89.97,73.29,0.1,44.35,29.9,74,77,77,39,1.8,4,26,76.67
2025-07-01,20:20:13,3,19.69,87.58,72.92,0.1,44.4,29.9,74,82,82,40,1.8,4.1,27,78.82
2025-07-01,21:17:24,3,18.82,82.72,72.74,0.1,44.6,29.9,74,69,69,32,1.8,3.1,26,79.405
2025-07-01,22:17:31,3,18.1,78.61,72.4,0.1,44.8,29.9,74,67,67,31,1.8,3,26,79.4
